cagrLucrosCincoAnos,cagrReceitasCincoAnos,divLiquidaEbit,divLiquidaEbitida,divLiquidaPl,dy,evEbit,evEbitida,giroAtivos,liqCorrente,lpa,mBruta,mEbit,mEbitda,maxCiquentaDuaSemana,maxMes,minCiquentaDuaSemana,minMes,mliquida,pAtivoCircLiq,pCapGiro,pEbit,pEbitida,passivoAtivo,pativo,pegRatio,pl,plAtivo,psr,pvp,roa,roe,roic,somaDyDozeMeses,ticker,tipoAtivo,valorAtual,valorizacaoAtivoDozeMeses,valorizacaoBaseDiaAnterior,valorizacaoMesAtual,vpa
-%,-%,"5,64",-,"4,12",-,"29,69",-,"0,36","1,29","0,79","34,21%","24,42%",-%,"39,00","R$ 39,00","29,78","R$ 34,35","11,84%","-3,03","30,46","24,05",-,"0,88","2,10","1,88","49,59","0,12","5,87","17,55","4,24%","35,40%","8,64%","R$ 0,0000",VAMO3,ON,"39,00","25,60%","0,93%","11,43%","2,22"
-%,"6,62%","0,17",-,"0,03","1,59","3,90",-,"0,96","0,95","8,12","26,83%","5,13%",-%,"74,33","R$ 39,11","21,35","R$ 32,30","4,25%","-0,28","-11,66","3,73",-,"0,68","0,18","0,03","4,50","0,32","0,19","0,58","4,09%","12,96%","7,58%","R$ 0,5820",PCAR3,ON,"36,57","-31,01%","0,85%","13,22%","62,63"
-%,"-53,72%","-2,38",-,-,-,"-3,24",-,"0,01","0,10","-51,81","19,54%","-4.232,60%",-%,"38,57","R$ 36,49","4,90","R$ 33,40","-5.843,94%","-0,24","-0,13","-0,89",-,"2,57","0,20","0,94","-0,64","-1,57","37,67","-0,13","-30,72%","-19,63%","21,52%","R$ 0,0000",INEP3,ON,"33,40","377,14%","-1,76%","-2,05%","-264,00"
-%,"1,10%","1,93","1,67",-,-,"4,12","3,58","1,71","0,58","0,15","37,35%","11,13%","12,82%",-,R$ -,-,R$ -,"3,47%","0,00","0,00","0,00","0,00","1,36","0,00","0,00","0,00","-0,36","0,00","0,00","5,92%","-16,30%","500,50%","R$ 0,0000",BOBR3,ON,"0,00",-%,"0,00%",-%,"-0,94"
-%,"-11,36%","4,12","3,00","0,67",-,"17,05","12,40","0,56","0,95","0,52","45,00%","10,13%","13,93%",-,"R$ 6,25",-,"R$ 5,35","14,06%","-1,49","-53,33","16,66","12,11","0,66","0,94","1,35","12,00","0,34","1,69","2,72","7,82%","22,69%","3,90%","R$ 0,0000",CAMB4,PN,"6,25",-%,"0,00%",-%,"2,30"
"-1,36%","2,84%","-4,03","-3,83","-0,26","0,86","25,06","23,84","0,20","5,50","1,79","43,04%","28,41%","29,87%","45,58","R$ 34,10","24,90","R$ 31,60","43,26%","-3,01","4,40","29,09","27,67","0,12","1,64","0,43","19,10","0,88","8,26","1,87","8,59%","9,80%","5,96%","R$ 0,2941",EZTC3,ON,"34,10","4,06%","1,40%","7,91%","18,22"
"8,78%","3,76%","-2,39","-2,00","-0,29","4,03","6,05","5,07","0,50","2,43","3,52","53,59%","16,87%","20,13%","41,90","R$ 34,00","21,75","R$ 29,49","15,78%","-1,40","2,44","8,39","7,03","0,29","0,71","-0,20","8,97","0,71","1,41","1,01","7,92%","11,23%","9,07%","R$ 1,2729",CGRA4,PN,"31,60","33,00%","-0,69%","7,15%","31,39"
"-1,76%",-%,-,-,-,"5,69","9,93",-,"0,00","1,27","1,93",-%,-%,-%,"29,75","R$ 24,14","21,53","R$ 23,65",-%,"-6,52","61,99","9,93",-,"0,41","4,35","-0,29","12,32","0,59",-,"7,43","35,33%","60,27%",-%,"R$ 1,3514",BBSE3,ON,"23,73","-5,16%","0,34%","-0,79%","3,19"
-%,-%,"-0,04",-,"-0,01","7,48","16,44",-,"0,00","11,80","4,22",-%,-%,-%,"73,02","R$ 72,85","26,09","R$ 63,44",-%,"-2,33","66,71","17,36",-,"0,00","2,24","-0,04","17,28","1,00",-,"2,25","12,99%","13,03%","12,98%","R$ 5,4463",BRAP4,PN,"72,85","176,26%","0,52%","14,83%","32,34"
"56,67%","-36,10%","-0,32",-,"-0,05","0,87","22,35",-,"0,07","1,17","30,01","48,92%","51,47%",-%,"215,00","R$ 215,00","56,92","R$ 197,00","169,54%","-5,90","6,43","23,16",-,"0,77","0,79","0,03","7,03","0,23","11,92","3,38","11,28%","48,02%","10,73%","R$ 1,8350",CEBR6,PNB,"211,00","270,70%","-1,86%","7,11%","62,49"
-%,"-9,38%","0,22","0,22",-,-,"-0,54","-0,55","0,50","0,71","-2,27","62,65%","-171,31%","-167,76%","2,90","R$ 1,71","1,42","R$ 1,64","-175,32%","-0,88","-5,65","-0,75","-0,77","1,20","0,64","-0,01","-0,74","-0,20","1,29","-3,14","-86,80%","-426,12%","418,72%","R$ 0,0000",BBRK3,ON,"1,67","-37,69%","-1,18%","-1,76%","-0,53"
-%,"-33,11%","-0,63",-,-,-,"-47,62",-,"0,84","0,49","-0,05","24,06%","-10,70%",-%,-,"R$ 2,42",-,"R$ 2,12","-10,96%","-11,89","-5,93","-45,00",-,"1,81","4,03","0,47","-43,94","-0,81","4,81","-4,97","-9,18%","-11,31%","11,93%","R$ 0,0000",TOYB3,ON,"2,29",-%,"0,00%",-%,"-0,46"
"1,84%","7,78%","-0,75","-0,63","-0,11","6,97","8,30","6,96","0,76","2,05","1,74","50,03%","10,60%","12,63%","24,70","R$ 18,02","11,33","R$ 16,89","10,45%","-1,96","2,49","9,60","8,05","0,43","0,77","0,06","9,74","0,57","1,02","1,37","7,94%","14,05%","8,91%","R$ 1,1800",BALM3,ON,"16,92","49,34%","0,18%","-2,20%","12,37"
"14,87%","17,16%","-0,79",-,"-0,86","7,50","3,21",-,"0,84","0,88","1,22","76,38%","40,46%",-%,"11,66","R$ 8,76","6,04","R$ 7,18","24,25%","-2,15","-27,64","4,00",-,"0,69","1,36","-0,74","6,67","0,31","1,62","4,36","20,34%","65,42%","72,59%","R$ 0,6089",WIZS3,ON,"8,12","-13,62%","-7,31%","13,09%","1,86"
-%,-%,"0,20",-,"0,03","0,41","49,51",-,"0,00","1,93","1,71",-%,-%,-%,-,"R$ 86,61",-,"R$ 86,61",-%,"-6,79","214,30","49,31",-,"0,08","6,37","2,25","50,53","0,92",-,"6,94","12,61%","13,74%","13,34%","R$ 0,3582",LTEL3B,ON,"86,61",-%,"0,00%",-%,"12,48"
-%,-%,"2,23","2,00","0,47",-,"32,44","29,10","0,93","1,77","0,15","11,13%","9,30%","10,37%","13,13","R$ 9,02","6,10","R$ 8,10","5,13%","-8,83","8,56","30,21","27,09","0,59","2,62","1,99","54,83","0,41","2,81","6,42","4,78%","11,72%","9,41%","R$ 0,0000",AERI3,ON,"8,10","24,62%","-2,64%","-5,04%","1,26"
"-7,25%","-1,53%","-33,83","-32,87","-0,87","7,86","-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%",-,"R$ 5,40",-,"R$ 5,40","160,27%","-0,33","0,31","8,56","8,32","0,40","0,13","-0,54","9,68","0,60","15,51","0,22","1,35%","2,27%","1,68%","R$ 0,4242",BRGE7,PN,"5,40",-%,"0,00%",-%,"24,56"
"-7,25%","-1,53%","-33,83","-32,87","-0,87","4,41","-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%","44,76","R$ 16,81","11,45","R$ 16,50","160,27%","-1,01","0,94","26,16","25,42","0,40","0,40","-1,64","29,57","0,60","47,39","0,67","1,35%","2,27%","1,68%","R$ 0,7272",BRGE6,PNB,"16,50","44,10%","-1,84%","-1,84%","24,56"
"-7,25%","-1,53%","-33,83","-32,87","-0,87","2,23","-16,09","-15,64","0,01","3,39","0,56","-301,47%","181,11%","186,40%","28,10","R$ 15,62","11,01","R$ 13,60","160,27%","-0,83","0,77","21,57","20,95","0,40","0,33","-1,35","24,37","0,60","39,06","0,55","1,35%","2,27%","1,68%","R$ 0,3030",BRGE5,PNA,"13,60","-36,51%","-5,36%","-4,49%","24,56"
-%,"-84,53%","0,00","0,00",-,-,"-1,28","-1,33","-32,38","0,25","-6,15","1.622,59%","3.562,68%","3.420,46%","5,80","R$ 4,09","2,30","R$ 3,48","5.901,50%","-3.372,84","-686,40","-1,10","-1,15","4,77","1.270,86","-0,01","-0,67","-3,77",-,"-337,41","-191.061,17%","-50.725,37%","50.838,86%","R$ 0,0000",AZEV4,PN,"4,09","77,83%","13,93%","9,65%","-0,01"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,-%,"-2,10","-2,22","1,60",-,"-4,03","-4,25","0,08","1,50","-13,68","-34,97%","-167,68%","-158,89%","29,55","R$ 26,00","19,16","R$ 22,73","-170,20%","-0,43","1,84","-1,93","-2,04","0,83","0,25","0,05","-1,90","0,17","3,23","1,47","-13,36%","-77,32%","-22,16%","R$ 0,0000",AVLL3,ON,"26,00","-12,01%","0,00%","14,24%","17,70"
-%,"-18,98%","99,50","86,68",-,-,"105,11","91,56","0,05","0,90","-245,20","66,49%","17,69%","20,30%","65,00","R$ 48,35","36,37","R$ 46,50","-515,29%","-0,06","-3,43","5,61","4,89","1,28","0,05","0,00","-0,19","-0,28","0,99","-0,19","-27,93%","-100,93%","-3,43%","R$ 0,0000",GSHP3,ON,"47,20","22,60%","1,51%","-2,38%","-242,94"
"-16,50%","7,26%","0,79","0,42","0,05","0,67","86,87","46,20","0,56","1,72","0,49","47,47%","5,79%","10,89%","80,95","R$ 80,95","38,03","R$ 69,91","3,05%","-6,25","12,13","86,08","45,77","0,52","2,80","-2,33","163,20","0,48","4,98","5,88","1,72%","3,60%","4,34%","R$ 0,5307",ARZZ3,ON,"79,58","78,51%","-1,69%","13,83%","13,54"
"28,09%","10,62%","-1,11","-0,99","-0,28","2,15","3,43","3,06","1,03","4,09","6,26","30,21%","19,11%","21,38%","35,31","R$ 35,31","13,93","R$ 31,14","15,56%","-3,53","1,61","4,59","4,10","0,22","0,91","0,03","5,64","0,78","0,88","1,16","16,06%","20,50%","14,60%","R$ 0,7575",MTSA4,PN,"35,31","135,24%","5,94%","12,10%","30,53"
-%,"-7,53%","-3,14","-4,97","0,93",-,"-8,71","-13,76","0,64","1,22","0,00","37,31%","-13,69%","-8,66%","9,38","R$ 6,23","4,58","R$ 5,32","0,00%","-1,03","5,03","-5,57","-8,80","0,71","0,48",-,-,"0,29","0,76","1,64","0,00%","0,00%","-12,12%","R$ 0,0000",AMAR3,ON,"6,23","7,41%","14,73%","16,23%","3,79"
-%,-%,"-0,94","-0,74","-0,19",-,"281,97","221,13","0,75","2,81","0,03","58,29%","15,14%","19,30%","14,10","R$ 12,83","9,00","R$ 11,69","9,66%","-151,15","63,19","282,91","221,87","0,43","32,08","43,51","443,18","0,57","42,82","56,77","7,24%","12,81%","12,25%","R$ 0,0000",TFCO4,PN,"12,06","30,80%","3,08%","1,34%","0,21"
-%,-%,"0,00",-,-,-,"-5,69",-,"0,14","0,00","-0,38","100,00%","-13.548,48%",-%,"2,74","R$ 2,10","1,56","R$ 1,56","-18.860,61%","-116,16","-1,43","-5,69",-,"82,72","105,12","-0,58","-4,09","-81,72","770,90","-1,29","-2.571,90%","-31,47%","22,61%","R$ 0,0000",ADHM3,ON,"1,56","-43,07%","-8,24%","-23,53%","-1,21"
"21,64%","0,31%","1,66","1,38","0,30","1,91","14,15","11,81","0,10","1,84","1,60","74,59%","106,00%","126,99%","25,53","R$ 24,55","17,70","R$ 23,28","89,15%","-1,64","17,06","12,50","10,43","0,41","1,36","0,14","14,86","0,59","13,25","2,30","9,13%","15,47%","11,12%","R$ 0,4550",MULT3,ON,"23,85","12,24%","0,55%","-1,41%","10,38"
-%,"22,02%","-0,70","-0,57","-0,16",-,"-0,70","-0,57","1,10","3,16","0,46","30,05%","11,28%","13,80%",-,R$ -,-,R$ -,"10,87%","0,00","0,00","0,00","0,00","0,45","0,00","0,00","0,00","0,55","0,00","0,00","11,95%","21,76%","14,72%","R$ 0,1139",STTR3,ON,"0,00",-%,"0,00%",-%,"2,13"
"6,88%","1,37%","1,14","0,42","0,11","9,91","12,48","4,61","0,40","1,07","2,82","47,38%","15,26%","41,29%","50,45","R$ 44,14","39,67","R$ 43,20","11,06%","-0,83","62,95","11,34","4,19","0,36","0,69","-3,39","15,65","0,64","1,73","1,07","4,39%","6,86%","6,45%","R$ 4,3727",VIVT3,ON,"44,14","0,30%","0,78%","2,18%","41,13"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,-%,-,-,"-1,00",-,-,-,"0,00",-,"0,00",-%,-%,-%,"17,69","R$ 17,00","15,35","R$ 15,35",-%,-,"12.651.676,68",-,-,"0,00","12.651.676,68",-,-,"1,00",-,"12.651.676,68","0,00%","0,00%",-%,"R$ 0,0000",AESB3,ON,"15,85","-6,32%","3,26%","-6,76%","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-%,-%,"-0,72","-0,56","-0,13","0,41","28,84","22,46","0,49","2,41","0,62","68,49%","19,58%","25,14%","29,46","R$ 25,73","14,96","R$ 24,07","14,00%","-8,44","7,27","29,55","23,01","0,45","2,83","-0,63","41,32","0,55","5,79","5,17","6,85%","12,52%","12,05%","R$ 0,1058",VIVA3,ON,"25,66","62,92%","2,27%","6,61%","4,96"
-%,-%,-,-,"3,05",-,-,-,"0,00","0,96","0,00",-%,-%,-%,"79,97","R$ 79,97","68,50","R$ 75,06",-%,"-2,04","-57,22",-,-,"0,93","1,14",-,-,"0,07",-,"15,18","0,00%","0,00%",-%,"R$ 0,0000",ASAI3,ON,"79,75","11,69%","-0,28%","6,25%","5,25"
-%,"-16,98%","-1,77","-10,39","1,56",-,"-2,62","-15,40","0,53","0,48","-8,66","1,81%","-15,64%","-2,66%","6,30","R$ 5,25","2,24","R$ 4,80","-22,72%","-0,09","-0,37","-0,85","-5,01","0,91","0,07","0,01","-0,59","0,09","0,13","0,75","-12,05%","-128,42%","-33,09%","R$ 0,0000",ATMP3,ON,"5,07","-15,50%","-2,12%","1,00%","6,74"
"45,59%","23,49%","0,46","0,51","0,14","10,19","4,60","5,12","0,15","4,01","5,10","69,27%","119,77%","107,52%","30,55","R$ 30,55","19,99","R$ 29,70","90,94%","-1,05","4,87","4,55","5,06","0,43","0,82","0,07","5,99","0,57","5,45","1,43","13,67%","23,80%","19,25%","R$ 3,1135",TRPL3,ON,"30,55","47,16%","0,69%","2,86%","21,44"
"45,59%","23,49%","0,46","0,51","0,14","11,92","4,60","5,12","0,15","4,01","5,10","69,27%","119,77%","107,52%","26,64","R$ 26,12","16,62","R$ 25,21","90,94%","-0,90","4,16","3,89","4,33","0,43","0,70","0,06","5,12","0,57","4,66","1,22","13,67%","23,80%","19,25%","R$ 3,1135",TRPL4,PN,"26,12","55,01%","2,47%","3,12%","21,44"
-%,"11,24%","0,33","0,16","0,02",-,"36,73","17,21","0,31","4,78","-0,10","51,80%","8,31%","17,74%","12,98","R$ 10,83","6,02","R$ 9,86","-2,89%","-1,74","2,58","36,40","17,05","0,45","0,94","-0,32","-104,63","0,55","3,02","1,70","-0,90%","-1,63%","2,96%","R$ 0,0000",ANIM3,ON,"10,65","45,29%","1,82%","8,01%","6,26"
-%,"8,49%","-1,61","-1,59","-0,21","4,25","0,88","0,87","0,76","3,59","4,34","26,63%","13,52%","13,65%","49,89","R$ 48,00","36,92","R$ 45,00","7,02%","-1,28","1,35","5,39","5,34","0,21","0,55","0,29","10,39","0,79","0,73","0,70","5,32%","6,72%","8,94%","R$ 1,9169",TKNO4,PN,"45,12","10,59%","0,22%","-6,00%","64,60"
"-2,43%","0,15%","1,94","0,65","0,24","3,65","12,49","4,21","0,41","1,25","0,76","53,69%","16,30%","48,31%","16,32","R$ 12,60","11,47","R$ 12,24","10,68%","-0,95","14,08","10,55","3,56","0,44","0,71","-0,33","16,11","0,56","1,72","1,28","4,43%","7,95%","7,97%","R$ 0,4474",TIMS3,ON,"12,27","-1,52%","-0,49%","-1,60%","9,58"
"6,45%","-16,95%","7,48","2,78","1,90",-,"9,45","3,51","0,29","0,22","1,08","9,07%","23,87%","64,20%","2,95","R$ 2,82","0,90","R$ 2,29","19,54%","-0,14","-0,67","1,97","0,73","0,73","0,14","-0,01","2,41","0,27","0,47","0,50","5,63%","20,75%","6,75%","R$ 0,0000",TPIS3,ON,"2,59","142,06%","-0,77%","11,64%","5,19"
"49,27%","18,29%","0,31","0,32","0,05","2,10","9,87","10,17","0,40","3,68","0,91","35,26%","22,65%","21,98%","14,50","R$ 10,20","6,31","R$ 9,73","19,35%","-3,83","1,55","9,55","9,84","0,44","0,87","0,52","11,18","0,56","2,16","1,57","7,81%","14,02%","10,33%","R$ 0,2143",TRIS3,ON,"10,19","30,81%","0,89%","4,73%","6,50"
"75,16%","17,73%","-0,14",-,"-0,05","5,09","3,69",-,"1,05","2,60","9,99","17,50%","16,43%",-%,"57,30","R$ 55,00","22,92","R$ 52,62","12,71%","-3,91","1,47","4,26",-,"0,56","0,73","0,01","5,51","0,44","0,70","1,66","13,32%","30,18%","14,13%","R$ 2,8004",PATI4,PN,"55,00","139,97%","4,52%","4,52%","33,09"
-%,-%,"-11,38","-10,07","-0,52",-,"11,21","9,92","0,32","3,15","0,20","22,37%","9,40%","10,63%","8,45","R$ 5,98","5,30","R$ 5,45","7,31%","-6,07","1,14","22,59","19,99","0,33","0,69","-4,49","29,06","0,67","2,12","1,03","2,37%","3,55%","3,28%","R$ 0,0000",MELK3,ON,"5,94","-28,86%","0,85%","7,22%","5,76"
-%,"11,59%","1,13","0,97","0,43","2,12","5,74","4,91","0,60","1,75","1,92","25,18%","18,92%","22,11%","11,81","R$ 11,41","6,07","R$ 10,27","12,39%","-1,07","1,74","3,89","3,33","0,70","0,44","0,04","5,94","0,30","0,74","1,48","7,40%","24,95%","9,99%","R$ 0,2419",RAPT3,ON,"11,41","66,08%","0,26%","11,10%","7,70"
-%,"-33,11%","-0,63",-,-,-,"-47,62",-,"0,84","0,49","-0,05","24,06%","-10,70%",-%,-,"R$ 2,50",-,"R$ 2,50","-10,96%","-12,98","-6,47","-49,12",-,"1,81","4,40","0,52","-47,96","-0,81","5,26","-5,43","-9,18%","-11,31%","11,93%","R$ 0,0000",TOYB4,PN,"2,50",-%,"0,00%",-%,"-0,46"
"20,33%","28,32%","-0,32","-0,21","-0,05","0,38","44,66","29,18","0,63","1,65","0,21","39,11%","14,81%","22,67%","18,20","R$ 15,34","9,34","R$ 14,65","9,16%","-5,69","41,25","44,97","29,38","0,42","4,22","-9,31","72,74","0,58","6,66","7,28","5,79%","10,00%","9,28%","R$ 0,0582",HAPV3,ON,"15,34","42,57%","1,52%","3,44%","2,11"
"4,81%","9,43%","0,50","0,37","0,05","1,76","14,21","10,37","0,75","2,37","2,25","32,83%","9,85%","13,51%","41,47","R$ 29,62","28,38","R$ 28,38","10,53%","-1,67","4,38","13,71","10,00","0,32","1,01","0,35","12,83","0,68","1,35","1,47","7,85%","11,49%","8,29%","R$ 0,5072",MDIA3,ON,"28,90","-5,06%","0,70%","0,35%","19,60"
"71,84%","7,41%","2,82","2,24","0,94",-,"13,42","10,65","0,54","1,45","3,10","22,44%","18,28%","23,03%","44,98","R$ 44,98","25,01","R$ 43,49","13,30%","-1,67","8,60","10,43","8,28","0,71","1,03","1,02","14,34","0,29","1,91","3,50","7,16%","24,38%","10,86%","R$ 0,0000",ENMT3,ON,"44,39","65,63%","-0,25%","2,05%","12,70"
"15,47%","8,44%","0,92","0,76","0,28","1,58",-,-,"0,52","1,47","4,27","32,69%","21,80%","26,44%",-,"R$ 84,00",-,"R$ 83,20","17,05%","-2,99","13,21","15,40","12,70","0,62","1,75","2,40","19,69","0,38","3,36","4,60","8,87%","23,36%","13,63%","R$ 1,3300",ENMA6B,,"83,99",-%,"0,00%",-%,"18,26"
"-2,10%","-5,72%","18,44","14,76","0,58",-,"40,53","32,44","0,22","3,12","0,20","19,73%","5,46%","6,82%","15,64","R$ 8,89","6,97","R$ 8,65","2,72%","-1,00","0,54","22,09","17,68","0,62","0,27","-0,35","44,27","0,38","1,21","0,70","0,61%","1,58%","0,98%","R$ 0,0000",HBOR3,ON,"8,77","12,44%","0,57%","1,39%","12,51"
"5,78%","13,76%","-2,90",-,"-0,34",-,"11,20",-,"0,22","3,56","0,47","32,32%","33,94%",-%,"17,56","R$ 17,56","8,37","R$ 15,43","13,11%","-1,84","3,33","14,10",-,"0,37","1,04","-0,86","36,50","0,63","4,79","1,64","2,85%","4,50%","8,53%","R$ 0,0000",ENAT3,ON,"17,02","100,24%","-0,47%","10,30%","10,37"
-%,-%,"16,16",-,"-1,01",-,"-68,63",-,"0,15","17,86","-0,16","35,41%","-39,09%",-%,"20,90","R$ 13,50","7,89","R$ 10,63","-39,10%","-117,74","5,52","-84,80",-,"0,06","4,99","-2,19","-84,78","0,94","33,15","5,31","-5,88%","-6,26%","-6,26%","R$ 0,0000",ENJU3,ON,"13,50","38,32%","3,69%","27,00%","2,54"
-%,"-0,66%","-5,40","-83,77","0,59",-,"-12,37","-191,77","0,36","2,53","-4,88","12,25%","-8,56%","-0,55%","16,14","R$ 16,14","6,03","R$ 13,90","-18,41%","-0,51","0,61","-6,96","-108,00","0,72","0,21","-0,02","-3,24","0,28","0,60","0,77","-6,60%","-23,68%","-5,12%","R$ 0,0000",EMBR3,ON,"15,81","71,85%","-0,94%","13,74%","20,63"
-%,"1,48%","5,75","3,56","0,70",-,"38,76","23,97","1,72","1,94","0,78","11,39%","2,82%","4,56%","38,94","R$ 36,99","16,99","R$ 36,99","2,53%","-5,02","7,26","42,48","26,27","0,60","2,07","-0,68","47,34","0,40","1,20","5,15","4,36%","10,87%","4,38%","R$ 0,0000",ELEK4,PN,"36,99","86,63%","42,27%","0,00%","7,19"
-%,"37,50%","-5,51","-6,00","2,93",-,"-5,51","-6,00","0,27","1,25","-0,46","14,02%","-11,37%","-10,45%","8,44","R$ 0,00","0,00","R$ 0,00","-17,88%","0,00","0,00","0,00","0,00","0,94","0,00","0,00","0,00","0,06","0,00","0,00","-4,88%","-83,52%","-9,96%","R$ 0,0000",INNT3,ON,"0,00",-%,"-100,00%","0,00%","0,55"
-%,"9,57%","0,38","0,28","0,07","0,21","9,88","7,36","0,54","2,64","0,54","20,24%","18,20%","24,42%","20,50","R$ 20,50","9,36","R$ 18,70","4,18%","-1,42","3,49","8,77","6,54","0,44","0,86","0,18","38,18","0,56","1,60","1,53","2,25%","4,00%","10,41%","R$ 0,0435",USIM6,PNB,"20,50","115,79%","5,13%","9,63%","13,44"
-%,"7,89%","8,13","5,01","125,34",-,"15,45","9,51","0,36","0,69","-0,76","41,08%","21,64%","35,17%","14,90","R$ 11,95","9,25","R$ 11,30","-10,60%","-0,68","-8,24","7,32","4,50","0,99","0,57","-0,12","-14,94","0,01","1,58","112,77","-3,82%","-754,68%","4,31%","R$ 0,0000",ECOR3,ON,"11,34","3,85%","0,35%","-2,07%","0,10"
"190,50%","11,42%","2,15","1,61","0,37","0,98","9,65","7,22","0,60","1,21","1,12","25,31%","12,72%","16,99%","6,15","R$ 6,15","3,00","R$ 5,04","10,03%","-0,55","4,88","4,32","3,23","0,56","0,33","0,11","5,48","0,44","0,55","0,75","6,05%","13,75%","9,67%","R$ 0,0602",EALT4,PN,"6,15","94,01%","2,50%","22,02%","8,16"
"27,12%","17,64%","-3,16","-3,03","-0,63","11,81","9,53","9,15","0,26","1,71","5,37","46,20%","32,01%","33,35%","72,97","R$ 64,90","23,44","R$ 57,63","44,39%","-2,47","7,78","16,75","16,08","0,58","1,40","0,11","12,08","0,42","5,36","3,34","11,60%","27,62%","8,99%","R$ 7,6674",EMAE4,PN,"64,90","160,96%","4,76%","12,61%","19,45"
-%,-%,"0,01",-,"0,00",-,"-3,11",-,"0,00","1,42","-29,13",-%,-%,-%,"76,00","R$ 74,96","74,96","R$ 74,96",-%,"-0,51","339,93","-3,07",-,"0,44","0,50","-0,01","-2,57","0,56",-,"0,90","-19,57%","-35,04%","-29,55%","R$ 0,0000",ECPR4,PN,"74,96","-0,05%","0,00%","0,00%","83,14"
-%,"1,09%","3,84","2,87","1,01",-,"13,11","9,81","0,98","1,29","0,44","30,30%","7,39%","9,87%",-,R$ -,-,R$ -,"2,10%","-1,69","4,89","9,28","6,94","0,73","0,67","22,14","32,70","0,27","0,69","2,45","2,05%","7,50%","9,29%","R$ 0,0000",CREM3,ON,"14,50",-%,"0,00%",-%,"5,91"
"15,47%","8,44%","0,92","0,76","0,28","0,61",-,-,"0,52","1,47","4,27","32,69%","21,80%","26,44%",-,"R$ 50,50",-,"R$ 49,00","17,05%","-1,80","7,94","9,26","7,63","0,62","1,05","1,44","11,84","0,38","2,02","2,77","8,87%","23,36%","13,63%","R$ 0,3100",ENMA3B,,"50,49",-%,"0,00%",-%,"18,26"
-%,"1,48%","5,75","3,56","0,70",-,"38,76","23,97","1,72","1,94","0,78","11,39%","2,82%","4,56%","25,50","R$ 19,11","15,51","R$ 19,11","2,53%","-2,60","3,75","21,94","13,57","0,60","1,07","-0,35","24,46","0,40","0,62","2,66","4,36%","10,87%","4,38%","R$ 0,0000",ELEK3,ON,"19,11","3,30%","0,05%","0,00%","7,19"
"28,11%","4,45%",-,-,-,"5,95","21,79",-,"0,10","0,49","1,24","75,23%","26,67%",-%,"105,91","R$ 49,12","6,43","R$ 41,49","18,74%","-0,75","-3,00","23,54",-,"0,97","0,61","4,31","33,50","0,03","6,28","22,22","1,81%","66,32%",-%,"R$ 2,4700",BSLI3,ON,"41,49","545,26%","-3,85%","-15,53%","1,87"
-%,"-3,48%","1,14","1,02","0,43","11,52","6,65","5,95","2,88","1,92","3,35","5,47%","5,60%","6,26%","22,21","R$ 21,79","15,20","R$ 20,39","4,79%","-1,68","3,93","5,51","4,93","0,57","0,89","0,08","6,44","0,43","0,31","2,06","13,79%","31,99%","17,54%","R$ 2,4893",BRDT3,ON,"21,60","28,96%","-0,87%","4,05%","10,48"
"-6,09%","7,29%","5,67","3,16","0,69","3,71","13,39","7,45","0,63","0,84","3,41","12,67%","6,70%","12,04%","67,50","R$ 57,53","45,96","R$ 55,98","4,52%","-0,64","-9,94","11,34","6,31","0,66","0,48","-0,49","16,82","0,34","0,76","1,38","2,83%","8,21%","5,07%","R$ 2,1237",COCE5,PNA,"57,30","19,72%","0,00%","2,36%","41,49"
-%,"-1,70%","-3,00","10,34",-,-,"-37,07","127,60","0,36","0,53","-8,59","4,97%","-24,36%","7,08%","44,95","R$ 39,96","11,08","R$ 37,81","-188,62%","-4,59","-9,94","-34,07","117,26","1,90","3,02","-0,01","-4,40","-0,90","8,30","-3,37","-68,60%","-76,58%","24,18%","R$ 0,0000",AZUL4,PN,"37,81","126,68%","-0,03%","-0,47%","-11,22"
-%,"4,54%","-339,73","6,14",-,-,"-876,75","15,85","0,68","1,20","-8,39","19,15%","-0,12%","6,79%","27,40","R$ 27,40","17,60","R$ 21,91","-11,43%","-0,42","3,76","-303,84","5,49","1,04","0,25","-0,02","-3,26","-0,04","0,37","-5,65","-7,77%","-173,07%","-7,20%","R$ 0,0000",BRKM6,PNB,"27,40","40,51%","0,33%","25,06%","-4,85"
-%,"2,55%","-22,50","2,47","0,14","2,36","-295,80","32,51","0,45","1,71","-0,05","50,61%","-0,50%","4,58%","20,43","R$ 17,20","9,75","R$ 13,55","-0,43%","-1,68","2,37","-273,30","30,04","0,64","0,62","3,02","-316,21","0,36","1,37","1,71","-0,20%","-0,54%","-2,25%","R$ 0,4058",GUAR3,ON,"17,20","36,83%","8,11%","26,94%","10,07"
